"Date","Price","Open","High","Low","Vol.","Change %"
"May 24, 2018","600.00","577.00","610.00","548.60","5.49K","3.64%"
"May 23, 2018","578.94","643.36","651.52","563.20","7.39K","-10.01%"
"May 22, 2018","643.36","698.00","700.91","639.00","4.48K","-7.83%"
"May 21, 2018","698.00","715.09","719.00","689.00","3.41K","-2.87%"
"May 20, 2018","718.59","697.50","725.00","686.00","3.78K","3.02%"
"May 19, 2018","697.50","691.69","715.00","681.00","2.07K","0.84%"
"May 18, 2018","691.69","669.76","696.12","657.00","3.81K","3.27%"
"May 17, 2018","669.76","707.00","721.00","663.00","6.40K","-5.01%"
"May 16, 2018","705.10","706.00","710.10","675.60","4.99K","0.21%"
"May 15, 2018","703.61","726.40","740.00","695.00","3.72K","-2.84%"
"May 14, 2018","724.19","728.51","742.10","685.00","6.19K","-0.59%"
"May 13, 2018","728.51","684.00","740.76","667.95","4.58K","6.98%"
"May 12, 2018","681.00","676.53","690.00","634.16","7.36K","1.16%"
"May 11, 2018","673.20","720.00","740.83","664.76","15.72K","-7.43%"
"May 10, 2018","727.21","751.00","768.10","722.00","4.53K","-3.17%"
"May 09, 2018","751.00","747.97","762.07","711.14","9.08K","0.40%"
"May 08, 2018","747.97","755.07","777.32","719.76","6.78K","-0.47%"
"May 07, 2018","751.50","793.98","799.00","697.61","18.35K","-5.26%"
"May 06, 2018","793.19","819.89","839.88","754.30","8.66K","-3.26%"
"May 05, 2018","819.88","788.84","830.75","781.30","7.01K","3.93%"
"May 04, 2018","788.84","776.56","809.30","759.00","10.59K","0.87%"
"May 03, 2018","782.00","689.00","789.46","684.53","12.04K","13.50%"
"May 02, 2018","689.00","672.22","693.00","665.28","3.42K","2.48%"
"May 01, 2018","672.33","668.00","675.79","629.67","6.08K","0.86%"
"Apr 30, 2018","666.57","690.00","694.19","662.00","4.90K","-3.40%"
"Apr 29, 2018","690.00","681.65","699.00","666.00","5.39K","0.64%"
"Apr 28, 2018","685.62","644.63","694.68","639.00","5.20K","6.30%"
"Apr 27, 2018","645.00","664.65","689.00","642.00","6.25K","-2.60%"
"Apr 26, 2018","662.20","616.93","665.56","601.00","10.89K","7.34%"
"Apr 25, 2018","616.93","702.81","703.94","596.00","24.50K","-12.24%"
