"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 13, 2018","53.852","53.925","54.710","53.487","2.62K","-0.14%"
"Oct 12, 2018","53.925","51.400","54.126","50.820","3.20K","4.91%"
"Oct 11, 2018","51.400","58.450","58.450","50.696","7.76K","-11.91%"
"Oct 10, 2018","58.350","59.100","59.100","57.500","1.54K","-1.27%"
"Oct 09, 2018","59.100","59.504","59.795","58.379","2.48K","-0.68%"
"Oct 08, 2018","59.504","58.300","60.300","57.600","2.42K","1.88%"
"Oct 07, 2018","58.406","57.700","58.558","57.000","1.40K","1.22%"
"Oct 06, 2018","57.700","58.750","59.397","57.054","3.07K","-1.79%"
"Oct 05, 2018","58.750","58.350","59.830","57.700","3.67K","0.69%"
"Oct 04, 2018","58.350","57.874","59.557","57.300","2.55K","0.82%"
"Oct 03, 2018","57.874","59.500","59.500","56.500","4.53K","-2.73%"
"Oct 02, 2018","59.500","60.350","61.992","59.093","3.22K","-1.41%"
"Oct 01, 2018","60.350","61.199","62.349","59.500","5.86K","-1.39%"
"Sep 30, 2018","61.199","61.863","63.000","59.980","3.50K","-1.07%"
"Sep 29, 2018","61.863","62.108","62.333","59.072","5.24K","-0.40%"
"Sep 28, 2018","62.108","62.720","64.900","60.100","5.07K","-0.92%"
"Sep 27, 2018","62.686","57.348","65.550","56.700","12.31K","9.31%"
"Sep 26, 2018","57.348","58.000","59.700","56.235","4.25K","-1.12%"
"Sep 25, 2018","58.000","58.200","58.374","54.317","4.79K","-0.34%"
"Sep 24, 2018","58.200","61.478","61.777","57.180","3.48K","-5.33%"
"Sep 23, 2018","61.478","61.102","63.800","59.900","4.36K","0.62%"
"Sep 22, 2018","61.102","60.613","61.731","58.093","3.01K","0.81%"
"Sep 21, 2018","60.613","56.341","62.841","55.942","11.40K","7.58%"
"Sep 20, 2018","56.341","53.890","57.200","53.200","3.94K","4.55%"
"Sep 19, 2018","53.890","54.000","55.121","51.777","4.33K","-0.20%"
"Sep 18, 2018","54.000","52.397","55.502","50.700","5.50K","3.10%"
"Sep 17, 2018","52.375","56.951","57.796","51.502","4.63K","-8.04%"
"Sep 16, 2018","56.951","56.333","57.600","54.501","1.44K","0.86%"
"Sep 15, 2018","56.466","56.594","58.800","55.500","3.34K","-0.24%"
"Sep 14, 2018","56.600","54.169","58.800","53.000","5.60K","4.49%"
"Sep 13, 2018","54.169","51.873","55.392","51.867","4.12K","4.43%"
"Sep 12, 2018","51.873","51.920","52.161","47.000","3.83K","-0.09%"
"Sep 11, 2018","51.920","54.080","54.630","50.031","4.53K","-3.99%"
"Sep 10, 2018","54.080","54.710","56.414","52.866","3.33K","-1.13%"
"Sep 09, 2018","54.700","53.000","56.570","52.250","3.73K","3.21%"
"Sep 08, 2018","53.000","55.620","57.290","52.092","4.55K","-4.71%"
"Sep 07, 2018","55.620","57.520","58.450","55.000","4.48K","-3.30%"
"Sep 06, 2018","57.520","57.500","58.002","54.170","6.98K","0.03%"
"Sep 05, 2018","57.500","67.790","68.430","57.500","14.17K","-14.69%"
"Sep 04, 2018","67.400","65.480","69.440","65.460","6.27K","2.96%"
"Sep 03, 2018","65.460","66.592","66.592","64.100","4.24K","-1.70%"
"Sep 02, 2018","66.592","66.620","67.040","64.219","4.05K","-0.04%"
"Sep 01, 2018","66.620","62.030","67.800","61.920","5.18K","7.42%"
"Aug 31, 2018","62.020","60.220","62.670","59.640","2.80K","3.13%"
"Aug 30, 2018","60.140","61.505","61.570","58.500","4.36K","-2.27%"
"Aug 29, 2018","61.540","63.300","63.570","60.300","5.49K","-2.78%"
"Aug 28, 2018","63.300","60.700","63.716","59.820","8.05K","4.58%"
"Aug 27, 2018","60.530","57.000","60.890","56.530","3.61K","6.19%"
"Aug 26, 2018","57.000","57.920","58.040","55.890","3.37K","-1.59%"
"Aug 25, 2018","57.920","57.840","58.280","57.039","2.33K","0.05%"
"Aug 24, 2018","57.890","57.270","58.350","55.710","2.20K","1.12%"
"Aug 23, 2018","57.250","55.341","57.989","54.522","2.50K","3.45%"
"Aug 22, 2018","55.341","56.500","59.200","53.849","5.69K","-2.05%"
"Aug 21, 2018","56.500","53.698","56.760","53.430","5.26K","5.96%"
"Aug 20, 2018","53.322","57.850","58.700","53.322","5.28K","-7.83%"
"Aug 19, 2018","57.850","57.000","59.000","56.028","3.39K","1.49%"
"Aug 18, 2018","57.000","61.158","62.100","55.100","8.97K","-6.80%"
"Aug 17, 2018","61.158","55.180","61.600","55.140","6.15K","10.83%"
"Aug 16, 2018","55.180","54.501","57.342","54.220","5.65K","1.25%"
"Aug 15, 2018","54.501","54.380","59.797","54.008","13.50K","0.06%"
"Aug 14, 2018","54.466","56.325","56.330","49.417","7.03K","-3.30%"
"Aug 13, 2018","56.325","59.350","60.353","55.308","4.76K","-5.10%"
"Aug 12, 2018","59.350","57.750","61.500","57.320","4.70K","3.74%"
"Aug 11, 2018","57.212","59.100","59.793","55.180","5.99K","-3.19%"
"Aug 10, 2018","59.100","62.969","63.280","58.196","3.81K","-6.14%"
"Aug 09, 2018","62.969","62.370","64.912","60.189","5.49K","0.96%"
"Aug 08, 2018","62.370","67.200","67.682","60.855","11.25K","-7.95%"
"Aug 07, 2018","67.759","74.000","75.293","66.972","5.95K","-8.43%"
"Aug 06, 2018","74.000","74.600","76.810","72.331","1.34K","-0.87%"
"Aug 05, 2018","74.651","73.288","74.664","72.200","1.50K","1.86%"
"Aug 04, 2018","73.288","77.670","78.000","72.200","1.78K","-5.64%"
"Aug 03, 2018","77.670","76.515","77.800","74.989","2.38K","1.50%"
"Aug 02, 2018","76.521","77.600","78.500","75.600","1.56K","-1.39%"
"Aug 01, 2018","77.600","78.659","79.188","75.957","2.54K","-1.90%"
"Jul 31, 2018","79.100","82.276","82.540","76.300","4.17K","-3.86%"
"Jul 30, 2018","82.276","83.790","84.500","79.790","2.05K","-1.81%"
"Jul 29, 2018","83.790","83.590","85.230","83.232","1.45K","0.24%"
"Jul 28, 2018","83.590","84.540","84.750","82.135","1.10K","-1.12%"
"Jul 27, 2018","84.540","83.500","85.200","81.580","2.66K","0.68%"
"Jul 26, 2018","83.968","86.500","88.000","82.640","2.35K","-3.14%"
"Jul 25, 2018","86.690","89.768","90.570","84.948","3.62K","-3.43%"
"Jul 24, 2018","89.769","81.806","89.769","80.950","6.07K","9.73%"
"Jul 23, 2018","81.806","82.226","85.790","81.500","3.49K","-0.51%"
"Jul 22, 2018","82.226","83.958","84.034","81.882","2.32K","-2.06%"
"Jul 21, 2018","83.958","82.149","84.810","79.462","2.84K","2.20%"
"Jul 20, 2018","82.149","85.900","86.600","81.211","5.23K","-4.09%"
"Jul 19, 2018","85.656","86.260","88.800","84.587","2.70K","-0.70%"
"Jul 18, 2018","86.260","88.970","94.491","84.140","9.54K","-3.05%"
"Jul 17, 2018","88.970","83.850","89.994","81.600","4.26K","6.11%"
"Jul 16, 2018","83.850","78.384","83.900","77.578","4.34K","6.97%"
"Jul 15, 2018","78.384","76.331","79.355","74.960","2.62K","2.69%"
"Jul 14, 2018","76.331","76.530","77.290","75.500","0.98K","-0.73%"
"Jul 13, 2018","76.890","76.972","78.447","74.930","2.13K","-0.11%"
"Jul 12, 2018","76.972","78.210","78.210","74.210","3.75K","-1.25%"
"Jul 11, 2018","77.943","76.119","81.208","75.600","4.64K","2.40%"
"Jul 10, 2018","76.119","80.000","80.500","74.726","3.66K","-4.85%"
"Jul 09, 2018","80.000","81.842","83.215","79.900","6.69K","-2.25%"
"Jul 08, 2018","81.842","84.349","85.451","81.840","3.67K","-3.23%"
"Jul 07, 2018","84.577","83.286","85.200","79.431","2.08K","1.55%"
"Jul 06, 2018","83.286","83.490","84.194","80.950","1.55K","-0.24%"
"Jul 05, 2018","83.490","85.031","86.972","81.815","2.65K","-1.81%"
"Jul 04, 2018","85.031","85.080","88.996","83.201","1.94K","-0.06%"
"Jul 03, 2018","85.080","85.500","89.730","83.932","4.35K","-0.49%"
"Jul 02, 2018","85.500","79.995","87.000","78.340","5.94K","6.88%"
"Jul 01, 2018","79.995","81.266","81.450","77.811","2.53K","-1.56%"
"Jun 30, 2018","81.266","78.750","83.950","78.491","5.08K","3.19%"
"Jun 29, 2018","78.750","74.630","80.698","72.471","5.71K","5.51%"
"Jun 28, 2018","74.640","80.720","81.325","74.000","5.74K","-7.53%"
"Jun 27, 2018","80.720","75.500","81.615","74.829","4.20K","6.91%"
"Jun 26, 2018","75.500","82.175","82.302","75.410","3.99K","-8.12%"
"Jun 25, 2018","82.175","80.970","84.200","78.600","3.77K","1.49%"
"Jun 24, 2018","80.970","82.318","83.932","73.189","7.61K","-1.69%"
"Jun 23, 2018","82.358","84.632","86.446","81.290","2.32K","-2.69%"
"Jun 22, 2018","84.632","96.740","97.000","80.409","8.16K","-12.52%"
"Jun 21, 2018","96.740","98.223","98.950","95.700","1.76K","-1.53%"
"Jun 20, 2018","98.242","98.662","99.225","95.200","1.58K","-0.43%"
"Jun 19, 2018","98.662","98.900","101.450","96.712","2.20K","-0.22%"
"Jun 18, 2018","98.880","94.941","99.733","93.045","2.06K","4.15%"
"Jun 17, 2018","94.941","97.019","98.140","94.941","1.24K","-2.14%"
"Jun 16, 2018","97.019","95.588","97.558","93.227","3.55K","1.50%"
"Jun 15, 2018","95.588","100.697","101.658","94.475","5.01K","-5.07%"
